,country_code,country,type_of_document,date,backend_status,current,version_number,url,comment,annex_type,income_group,region,eu27,ghg_total,ghg_transport,mena,document_path
0,AFG,Afghanistan,1st NDC,2016-11-23 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_AFG_20150927_FINAL.pdf,,Non-Annex I,Low-income,Asia,0,10.99885649,5.35148307,0,../data/downloaded_documents/b5ff312b55e0bb69d507c468a4d494d496790f38f5be6bc8ef0d1c22380f08c8.pdf
1,ALB,Albania,1st NDC,2016-09-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Albania%20First.pdf,,Non-Annex I,Middle-income,Europe,0,5.65928452,2.76365941,0,../data/downloaded_documents/0880b88fed3b2184ad2a5ade54bd54d07408ff2eaec1fdfc6922398488c30712.pdf
2,DZA,Algeria,1st NDC,2016-10-20 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Algérie%20-INDC-%2003%20septembre%202015.pdf,,Non-Annex I,Middle-income,Africa,0,180.5699165,48.149191,MENA,../data/downloaded_documents/48983d178b3c79b518ae1868e3c189f90b66f2a4b3b727f7dcea2d471539346f.pdf
3,AND,Andorra,LTS,2021-11-10 00:00:00,uploaded,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf,,Non-Annex I,High-income,Europe,0,0,0,0,../data/downloaded_documents/ef3312302fdb7f94a4a795686c7a88fdf69878173c317fa5370198eff2a92bce.pdf
4,AND,Andorra,1st NDC,2017-03-24 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Alg%C3%A9rie%20-INDC-%2003%20septembre%202015.pdf,,Non-Annex I,High-income,Europe,0,0,0,0,../data/downloaded_documents/48983d178b3c79b518ae1868e3c189f90b66f2a4b3b727f7dcea2d471539346f.pdf
5,AND,Andorra,Updated NDC,2020-05-20 00:00:00,,,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/20200514-%20Actualitzaci%C3%B3%20NDC.pdf,,Non-Annex I,High-income,Europe,0,0,0,0,../data/downloaded_documents/187f05c2afa2679a6361985967b3a5a17a1e0907ee510ca59a0cf846fa5e7823.pdf
6,AND,Andorra,Updated NDC,2022-11-08 00:00:00,missing,x,NDC 1.2,https://unfccc.int/sites/default/files/NDC/2022-11/20222410_Actualitzacio%20NDC.pdf,,Non-Annex I,High-income,Europe,0,0,0,0,../data/downloaded_documents/aa6c20b6b3854c225e16250808ef98f24ffd61c228afded010ef3eb8ed15539a.pdf
7,AGO,Angola,1st NDC,2020-11-16 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Angola%20deposito.pdf,,Non-Annex I,Middle-income,Africa,0,25.81908578,7.7565152,0,../data/downloaded_documents/e05ef62787193b105ff80d27ecd68aee14245b7e0d02f26ca675681cad561a82.pdf
8,AGO,Angola,Updated NDC,2021-05-31 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Angola.pdf,,Non-Annex I,Middle-income,Africa,0,25.81908578,7.7565152,0,../data/downloaded_documents/6df072b1f21c46e7adf4ba68d4aafb0c1fa8980ab3918c39d877e58193bd93f1.pdf
9,ATG,Antigua and Barbuda,1st NDC,2016-09-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Antigua%20and%20Barbuda%20First.pdf,,Non-Annex I,High-income,Latin America and the Caribbean,0,0.5099989956,0.1706381627,0,../data/downloaded_documents/533664867d1f96090ccd744fd5ff80340b8bd10ef1aabd9a5506897438b5a0f8.pdf
